,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222
0,11,83,83,68,21,83,74,67,29,88,15,30,67,27,12,30,89,19,10,83,12,44,15,93,82,36,12,45,89,83,36,74,43,55,15,65,27,45,12,18,83,12,12,18,11,0,36,83,40,76,76,4,43,83,74,49,25,44,1,97,16,12,92,97,43,63,72,83,27,61,47,72,49,52,29,45,22,75,6,49,47,83,69,39,17,74,83,69,36,67,83,45,27,67,32,27,95,36,52,28,12,27,12,21,27,92,49,92,27,1,76,21,35,12,57,89,83,89,20,12,27,89,15,6,61,74,85,96,10,39,54,11,40,36,83,36,78,15,22,27,27,57,21,27,32,9,12,28,53,36,68,65,36,48,27,23,72,72,25,12,88,50,61,36,76,45,74,6,76,96,93,24,83,90,36,1,72,12,78,36,48,12,27,72,36,36,45,51,57,50,85,9,67,78,74,90,45,55,17,83,36,89,72,85,83,29,67,12,21,12,45,60,75,80,47,27,57,11,7,13,57.72727272727273,200,0.02
1,11,83,83,68,21,83,74,67,81,88,15,30,74,15,14,30,89,19,10,83,12,0,15,93,82,18,74,45,89,83,36,74,12,55,15,65,15,88,93,18,60,12,21,18,11,0,13,60,69,75,51,36,74,92,74,36,25,0,74,97,16,12,92,97,43,50,72,83,83,61,47,22,49,52,29,45,22,75,6,49,47,83,69,39,17,74,81,49,36,74,83,89,80,67,32,15,95,14,52,28,12,83,74,21,83,92,49,92,15,9,76,74,49,12,57,89,60,89,20,74,15,57,15,2,61,74,85,96,10,39,54,11,69,36,83,36,36,15,22,83,47,57,55,15,15,9,20,28,95,36,67,65,36,48,15,23,19,72,25,74,88,14,61,36,0,88,74,6,49,96,93,24,83,69,36,1,72,74,49,36,48,12,15,75,36,36,96,51,72,89,85,9,67,78,74,90,69,55,17,92,36,89,72,85,83,29,74,20,55,35,45,60,75,95,81,27,57,55,7,36,55.00000000000001,200,0.03
2,11,83,83,68,21,83,74,67,29,88,15,30,67,27,12,30,89,19,10,83,12,44,15,93,82,36,12,45,89,83,36,74,43,55,15,65,27,45,12,18,83,12,12,18,11,0,36,83,40,76,76,4,43,83,74,49,25,44,1,97,16,12,92,97,43,63,72,83,27,61,47,72,49,52,29,45,22,75,6,49,47,83,69,39,17,74,83,69,36,67,83,45,27,67,32,27,95,36,52,28,12,27,12,21,27,92,49,92,27,1,76,21,35,12,57,89,83,89,20,12,27,89,15,6,61,74,85,96,10,39,54,11,40,36,83,36,78,15,22,27,27,57,21,27,32,9,12,28,53,36,68,65,36,48,27,23,72,72,25,12,88,50,61,36,76,45,74,6,76,96,93,24,83,90,36,1,72,12,78,36,48,12,27,72,36,36,45,51,57,50,85,9,67,78,74,90,45,55,17,83,36,89,72,85,83,29,67,12,21,12,45,60,75,80,47,27,57,11,7,13,57.72727272727273,200,0.02
3,11,83,83,68,21,83,74,67,29,88,15,30,67,27,12,30,89,19,10,83,12,44,15,93,82,36,12,45,89,83,36,74,43,55,15,65,27,45,12,18,83,12,12,18,11,0,36,83,40,76,76,4,43,83,74,49,25,44,1,97,16,12,92,97,43,63,72,83,27,61,47,72,49,52,29,45,22,75,6,49,47,83,69,39,17,74,83,69,36,67,83,45,27,67,32,27,95,36,52,28,12,27,12,21,27,92,49,92,27,1,76,21,35,12,57,89,83,89,20,12,27,89,15,6,61,74,85,96,10,39,54,11,40,36,83,36,78,15,22,27,27,57,21,27,32,9,12,28,53,36,68,65,36,48,27,23,72,72,25,12,88,50,61,36,76,45,74,6,76,96,93,24,83,90,36,1,72,12,78,36,48,12,27,72,36,36,45,51,57,50,85,9,67,78,74,90,45,55,17,83,36,89,72,85,83,29,67,12,21,12,45,60,75,80,47,27,57,11,7,13,57.72727272727273,200,0.02
4,11,83,83,68,21,83,12,67,29,45,15,18,94,59,12,30,89,19,10,80,12,44,15,93,82,36,34,45,89,83,36,74,43,55,15,65,15,45,12,18,83,12,12,18,11,0,36,83,69,76,76,4,43,83,74,49,45,44,1,97,16,12,92,97,43,63,72,83,37,61,47,72,49,52,29,45,22,75,6,49,47,83,69,39,17,74,83,69,20,67,83,45,59,12,32,59,95,36,52,19,12,27,12,21,59,83,49,83,59,1,76,21,49,12,57,89,83,89,20,34,59,89,15,2,61,21,6,96,36,39,54,11,40,36,83,36,78,15,22,59,27,57,86,59,32,9,21,28,53,36,68,65,36,48,59,23,72,72,25,12,45,14,69,36,0,45,74,6,76,96,93,24,83,90,36,1,72,12,78,36,48,12,59,76,36,36,45,51,57,50,85,9,12,78,74,90,45,55,17,83,36,89,72,85,83,29,67,12,21,12,45,60,75,80,47,27,57,11,7,13,60.45454545454545,150,0.02
5,11,83,83,68,21,83,74,67,29,88,15,30,67,27,12,30,89,19,10,83,12,44,15,93,82,36,12,45,89,83,36,74,43,55,15,65,27,45,12,18,83,12,12,18,11,0,36,83,40,76,76,4,43,83,74,49,25,44,1,97,16,12,92,97,43,63,72,83,27,61,47,72,49,52,29,45,22,75,6,49,47,83,69,39,17,74,83,69,36,67,83,45,27,67,32,27,95,36,52,28,12,27,12,21,27,92,49,92,27,1,76,21,35,12,57,89,83,89,20,12,27,89,15,6,61,74,85,96,10,39,54,11,40,36,83,36,78,15,22,27,27,57,21,27,32,9,12,28,53,36,68,65,36,48,27,23,72,72,25,12,88,50,61,36,76,45,74,6,76,96,93,24,83,90,36,1,72,12,78,36,48,12,27,72,36,36,45,51,57,50,85,9,67,78,74,90,45,55,17,83,36,89,72,85,83,29,67,12,21,12,45,60,75,80,47,27,57,11,7,13,57.72727272727273,200,0.02
6,11,83,83,68,21,83,74,67,29,88,15,30,67,27,12,30,89,19,10,83,12,44,15,93,82,36,12,45,89,83,36,74,43,55,15,65,27,45,12,18,83,12,12,18,11,0,36,83,40,76,76,4,43,83,74,49,25,44,1,97,16,12,92,97,43,63,72,83,27,61,47,72,49,52,29,45,22,75,6,49,47,83,69,39,17,74,83,69,36,67,83,45,27,67,32,27,95,36,52,28,12,27,12,21,27,92,49,92,27,1,76,21,35,12,57,89,83,89,20,12,27,89,15,6,61,74,85,96,10,39,54,11,40,36,83,36,78,15,22,27,27,57,21,27,32,9,12,28,53,36,68,65,36,48,27,23,72,72,25,12,88,50,61,36,76,45,74,6,76,96,93,24,83,90,36,1,72,12,78,36,48,12,27,72,36,36,45,51,57,50,85,9,67,78,74,90,45,55,17,83,36,89,72,85,83,29,67,12,21,12,45,60,75,80,47,27,57,11,7,13,57.72727272727273,200,0.02
7,11,83,83,68,21,83,74,67,47,45,15,30,11,15,14,30,89,19,10,95,74,0,15,93,82,18,74,45,89,83,36,74,12,55,15,65,15,88,93,18,16,12,21,69,11,0,13,60,40,76,51,36,74,16,74,36,25,0,74,97,16,12,92,97,43,50,72,83,83,61,47,22,49,52,29,45,22,75,6,49,47,83,69,39,17,34,81,40,36,74,83,89,80,67,32,15,95,14,52,28,12,83,74,21,83,92,49,92,15,9,76,74,49,12,57,89,60,89,20,74,15,57,4,2,61,74,85,96,10,39,54,11,69,36,83,36,36,15,22,83,27,57,21,15,15,9,87,28,53,36,67,65,36,48,15,23,19,72,25,74,45,14,61,36,0,45,74,6,76,96,93,24,83,90,49,1,72,58,78,36,48,12,15,97,36,36,96,51,72,89,85,9,67,78,74,90,35,55,17,92,36,89,72,85,83,29,12,20,55,35,45,60,75,95,47,27,57,11,7,13,54.54545454545454,150,0.03
8,11,83,83,68,21,83,74,67,29,88,15,30,67,27,12,30,89,19,10,83,12,44,15,93,82,36,12,45,89,83,36,74,43,55,15,65,27,45,12,18,83,12,12,18,11,0,36,83,40,76,76,4,43,83,74,49,25,44,1,97,16,12,92,97,43,63,72,83,27,61,47,72,49,52,29,45,22,75,6,49,47,83,69,39,17,74,83,69,36,67,83,45,27,67,32,27,95,36,52,28,12,27,12,21,27,92,49,92,27,1,76,21,35,12,57,89,83,89,20,12,27,89,15,6,61,74,85,96,10,39,54,11,40,36,83,36,78,15,22,27,27,57,21,27,32,9,12,28,53,36,68,65,36,48,27,23,72,72,25,12,88,50,61,36,76,45,74,6,76,96,93,24,83,90,36,1,72,12,78,36,48,12,27,72,36,36,45,51,57,50,85,9,67,78,74,90,45,55,17,83,36,89,72,85,83,29,67,12,21,12,45,60,75,80,47,27,57,11,7,13,57.72727272727273,200,0.02
9,11,83,83,68,21,83,74,67,81,88,15,30,74,15,14,30,89,19,10,83,12,0,15,93,82,18,74,45,89,83,36,74,12,55,15,65,15,88,93,18,60,12,21,18,11,0,13,60,69,75,51,36,74,92,74,36,25,0,74,97,16,12,92,97,43,50,72,83,83,61,47,22,49,52,29,45,22,75,6,49,47,83,69,39,17,74,81,49,36,74,83,89,80,67,32,15,95,14,52,28,12,83,74,21,83,92,49,92,15,9,76,74,49,12,57,89,60,89,20,74,15,57,15,2,61,74,85,96,10,39,54,11,69,36,83,36,36,15,22,83,47,57,55,15,15,9,20,28,95,36,67,65,36,48,15,23,19,72,25,74,88,14,61,36,0,88,74,6,49,96,93,24,83,69,36,1,72,74,49,36,48,12,15,75,36,36,96,51,72,89,85,9,67,78,74,90,69,55,17,92,36,89,72,85,83,29,74,20,55,35,45,60,75,95,81,27,57,55,7,36,55.00000000000001,200,0.03
