,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222
0,94,81,81,81,79,81,79,81,81,29,81,81,86,81,14,81,54,81,81,81,98,81,81,81,81,18,81,81,89,81,81,81,81,55,81,65,81,22,81,18,81,81,21,18,94,81,81,81,20,81,81,81,81,81,81,81,81,81,1,81,81,81,81,81,81,50,81,81,81,81,81,22,81,58,29,81,81,81,81,81,81,81,81,39,17,81,81,81,81,70,81,81,81,94,81,33,81,14,81,81,65,81,98,21,81,81,81,81,81,81,81,81,81,81,81,81,60,81,81,81,81,50,81,2,61,81,81,81,81,81,54,94,20,81,81,81,81,81,81,81,81,81,81,81,81,94,14,81,81,81,81,65,81,48,81,81,81,81,81,1,88,81,61,81,81,81,81,81,81,81,81,81,81,90,81,1,81,58,81,81,81,70,81,81,81,81,81,81,81,63,81,9,81,81,81,90,45,81,17,81,81,81,81,81,81,81,70,18,86,81,81,81,81,81,81,81,81,55,7,81,75.45454545454545,0.009000000000000001,0.009000000000000001
1,11,48,48,11,48,48,48,11,81,48,48,11,11,11,48,11,48,11,11,53,98,48,48,11,82,48,48,48,89,48,11,48,11,11,11,65,48,48,11,48,60,3,21,48,11,51,13,11,48,48,51,11,11,11,48,11,48,44,48,48,48,11,11,48,48,48,48,81,37,61,48,22,61,11,48,48,48,11,11,48,48,48,11,11,11,11,75,48,48,11,76,11,48,11,71,11,11,48,11,48,87,27,98,48,37,11,48,11,11,48,11,48,48,48,57,48,60,11,48,11,11,11,48,11,61,11,11,48,11,48,11,11,48,11,76,48,56,11,48,26,11,11,11,53,48,11,48,48,53,48,48,65,48,48,48,23,48,48,48,48,48,11,61,11,11,88,11,11,76,48,11,48,48,48,48,48,72,11,78,48,48,11,71,48,11,48,96,51,48,63,11,48,48,78,48,48,48,11,11,11,11,48,48,11,11,48,11,48,11,48,48,48,53,53,48,71,57,11,11,11,80.45454545454545,0.009000000000000001,0.009000000000000001
2,54,54,54,54,1,54,90,54,47,90,54,54,54,26,54,54,54,54,54,54,98,54,54,54,54,54,54,54,54,54,54,54,54,54,15,65,46,54,54,18,54,3,54,18,54,51,13,54,40,54,51,54,54,54,54,54,54,44,1,54,54,3,54,54,54,54,54,81,54,61,54,22,15,54,54,54,54,54,54,54,54,54,54,54,17,54,75,40,54,54,54,54,26,54,71,33,54,54,54,54,87,31,54,54,54,54,54,92,54,54,51,54,69,54,54,54,54,54,8,54,33,54,54,2,61,54,54,54,54,54,54,54,20,54,54,54,54,54,54,26,47,54,54,54,32,54,54,54,53,54,68,65,44,54,71,23,54,54,54,54,88,54,15,54,54,88,54,54,76,54,54,54,54,90,54,1,72,54,78,54,54,54,71,54,54,54,54,51,54,54,54,54,54,78,54,54,45,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,5,54,54,54,54,76.81818181818181,0.009000000000000001,0.009000000000000001
3,94,43,43,43,79,43,25,43,81,25,43,43,43,43,14,43,43,60,43,53,98,43,43,43,82,18,43,40,89,43,43,43,43,43,33,19,46,22,43,18,60,3,43,18,94,51,43,60,40,43,51,43,43,92,43,51,43,44,1,43,43,43,92,43,43,50,72,81,43,61,43,22,61,52,29,43,28,43,43,43,81,43,43,39,17,43,81,40,43,70,66,43,43,94,5,33,43,14,52,28,87,77,98,43,43,92,43,92,43,43,51,43,69,43,57,43,60,43,8,43,33,50,43,2,61,43,43,96,43,60,54,94,40,43,66,43,56,43,60,26,5,43,43,53,32,94,43,39,53,43,43,19,56,48,77,23,43,43,43,43,88,50,61,43,43,88,43,43,76,96,43,24,43,43,43,43,72,58,78,38,43,70,43,43,43,43,96,51,43,63,43,43,43,15,43,43,40,43,17,92,43,50,72,43,43,43,43,18,43,43,43,60,53,53,43,5,57,43,7,43,55.90909090909091,0.009000000000000001,0.009000000000000001
4,94,97,97,70,97,97,79,70,97,88,97,70,70,97,97,70,70,97,97,53,98,97,70,70,97,70,70,97,89,97,97,97,70,70,70,97,97,22,70,70,60,97,21,70,94,97,97,60,20,97,51,70,97,92,70,70,97,44,1,97,97,97,92,97,97,70,97,97,37,70,97,22,61,52,97,97,28,97,70,97,97,97,70,70,17,70,97,97,70,70,66,70,97,94,70,33,70,14,52,28,87,27,70,97,37,92,97,92,97,97,70,70,97,70,57,97,60,70,97,70,33,7,97,70,61,70,70,70,70,70,70,94,20,70,66,97,70,70,97,26,47,97,97,53,97,94,97,70,53,97,97,19,70,97,97,23,97,97,97,70,88,70,61,97,70,97,97,70,70,97,70,97,97,70,97,70,97,70,97,70,97,70,70,97,70,97,96,51,97,70,70,70,97,97,70,70,97,70,17,92,97,70,97,70,70,97,70,70,97,97,97,70,70,53,97,47,57,70,7,97,72.27272727272728,0.009000000000000001,0.009000000000000001
5,94,93,93,93,90,93,90,93,93,90,93,93,86,26,93,93,93,93,93,53,98,93,93,93,82,93,93,93,93,93,93,93,93,93,93,65,46,22,93,18,60,93,21,18,94,93,93,60,40,93,51,93,93,92,93,93,93,44,1,93,93,93,92,93,93,93,93,81,37,61,93,22,61,52,90,93,28,93,93,93,93,93,93,39,17,93,81,40,93,70,66,93,93,94,71,33,93,87,52,28,87,27,98,93,37,92,93,92,26,1,93,93,93,93,57,93,60,93,93,34,33,50,93,2,61,93,93,93,93,60,54,94,40,93,66,93,56,93,28,26,93,93,93,53,32,94,93,39,53,93,93,65,93,48,27,23,93,93,93,93,88,93,61,93,93,88,93,93,93,93,93,93,93,90,93,79,72,58,78,93,93,70,71,93,93,93,96,51,93,63,93,93,93,93,93,90,45,93,17,92,93,93,72,93,93,27,93,18,93,93,93,39,53,53,93,71,57,93,93,93,60.0,0.009000000000000001,0.006
6,94,31,84,84,84,84,79,84,81,29,84,84,84,26,84,84,54,84,84,53,84,84,84,84,82,84,84,45,89,84,84,84,84,84,15,65,28,22,84,84,84,84,21,84,94,84,84,84,20,84,51,84,84,84,84,51,84,44,1,84,84,84,84,84,84,50,72,81,37,61,84,22,15,52,29,97,28,84,84,84,84,84,84,84,17,84,75,84,84,84,66,84,27,84,71,33,84,84,52,28,87,27,84,84,37,22,84,22,84,1,84,84,84,84,57,84,84,84,84,84,33,50,84,84,61,84,84,96,84,84,54,94,84,84,66,84,84,84,28,27,5,24,84,53,97,94,84,84,53,84,84,65,84,48,27,27,84,84,84,84,88,84,61,84,84,88,84,84,84,96,84,24,84,84,84,84,72,58,78,84,84,84,71,84,84,84,96,51,84,63,84,84,84,78,84,84,45,84,17,84,84,50,72,84,84,29,84,84,84,84,84,84,53,53,84,5,57,84,7,84,67.27272727272727,0.009000000000000001,0.009000000000000001
7,94,31,83,2,79,97,79,67,81,29,97,84,58,26,14,30,54,28,10,53,98,20,16,93,82,18,34,45,89,27,64,79,84,21,15,65,46,22,93,18,98,3,21,18,94,51,13,39,20,75,51,56,8,22,1,78,45,44,1,6,16,3,26,45,21,50,72,81,37,61,31,22,15,52,29,97,28,75,6,78,81,27,2,39,17,50,75,8,20,70,66,50,26,94,71,33,53,14,52,28,87,27,98,21,37,26,78,26,26,1,51,84,69,84,57,89,98,91,8,34,33,50,3,2,61,84,85,96,51,98,54,94,20,13,66,96,56,95,28,26,5,24,84,53,32,94,21,39,53,91,97,65,56,18,77,23,22,75,1,1,88,50,61,64,13,88,62,8,76,96,93,24,31,90,76,79,72,58,78,38,45,70,71,20,50,91,96,51,57,50,85,9,21,78,84,90,45,3,17,26,8,50,72,85,53,29,70,18,21,20,45,39,53,53,31,5,57,9,24,13,37.27272727272727,0.009000000000000001,0.009000000000000001
8,94,57,57,57,25,57,25,57,57,25,57,57,86,57,14,30,57,57,57,57,98,57,57,57,57,57,57,40,57,57,57,57,57,57,57,57,46,57,57,18,60,3,21,18,94,57,13,57,40,57,51,57,57,57,57,57,57,51,1,57,57,57,57,57,57,57,57,57,37,57,57,22,57,57,29,57,57,57,57,57,57,57,57,57,57,57,57,40,57,57,66,57,57,94,57,33,57,14,57,57,19,27,98,21,37,57,57,57,57,1,57,57,57,57,57,57,60,57,8,57,57,57,57,2,57,57,57,57,57,57,57,94,40,57,66,57,57,57,57,27,57,57,57,57,32,57,14,57,57,57,57,57,56,57,27,57,57,57,57,57,57,57,57,57,57,88,57,8,76,57,57,57,57,57,57,1,57,57,57,57,57,57,57,57,57,57,96,51,57,57,57,57,57,57,57,57,40,57,57,57,57,57,57,57,57,29,57,18,57,57,57,57,57,57,57,57,57,57,57,57,79.0909090909091,0.009000000000000001,0.009000000000000001
9,94,31,83,58,79,97,79,67,81,29,97,84,86,27,14,30,54,92,10,53,98,20,16,58,82,18,34,40,89,27,64,79,84,55,15,27,46,22,58,18,60,3,21,18,94,51,13,60,40,75,51,56,8,92,1,51,45,44,1,6,16,3,92,48,8,50,72,81,37,61,31,22,61,52,29,97,28,75,6,49,81,27,2,39,17,63,32,40,20,70,27,63,27,94,5,33,95,14,52,28,87,27,98,21,37,92,49,92,27,1,51,84,69,84,57,89,60,91,8,34,33,50,68,2,61,84,84,96,51,60,54,94,40,0,27,96,56,95,92,27,5,24,8,53,32,94,14,39,53,91,68,27,56,48,27,23,22,75,1,87,45,50,61,64,0,88,58,8,76,96,58,24,31,45,76,1,72,58,78,38,48,70,37,20,63,91,96,51,72,63,85,9,3,78,84,40,45,86,17,92,13,50,72,2,53,29,70,18,86,40,44,39,53,53,31,5,57,55,7,13,32.72727272727273,0.009000000000000001,0.009000000000000001
