,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222
0,9,10,10,10,9,10,9,10,9,9,10,10,9,10,9,10,9,9,10,53,9,10,10,10,9,9,10,9,10,10,10,9,10,9,10,10,9,9,10,9,9,10,9,9,9,10,10,9,9,10,9,10,10,10,9,9,9,9,9,10,10,10,92,10,10,10,10,10,9,9,10,9,61,52,9,10,9,10,10,10,10,10,10,9,17,10,10,10,10,9,9,9,10,9,9,33,10,9,10,9,87,9,9,9,9,92,10,92,10,9,9,9,10,10,10,10,9,10,10,9,33,10,10,10,61,10,10,9,10,9,9,9,10,10,9,10,10,9,9,10,5,10,10,53,10,9,9,9,53,10,10,10,9,9,9,9,9,10,10,9,9,10,61,10,10,10,10,10,10,10,10,10,10,9,10,9,10,9,10,10,9,9,9,10,10,10,9,9,10,9,10,9,9,10,10,9,9,9,17,92,10,10,10,10,10,9,9,9,9,9,10,9,53,53,10,5,10,9,10,10,90.0,0.009000000000000001,0.003
1,54,49,49,85,85,49,85,85,49,49,49,85,49,49,49,85,54,49,49,53,49,49,49,85,85,85,85,49,54,49,85,85,85,54,85,65,49,49,85,85,49,49,49,85,94,49,85,49,49,49,85,85,85,49,85,49,49,85,85,85,49,49,92,49,49,54,49,49,49,49,49,49,61,85,49,49,49,49,85,85,49,49,85,85,17,54,49,49,85,85,49,54,49,54,54,33,49,54,85,49,87,49,85,54,49,92,49,92,49,49,85,85,49,85,49,54,49,54,85,85,33,54,49,85,61,85,85,85,85,49,54,94,85,85,49,85,85,49,49,49,85,54,85,53,49,49,49,49,53,54,49,65,85,49,49,49,49,49,49,85,49,54,61,85,85,49,85,85,85,85,85,49,49,49,85,85,49,85,49,85,49,85,49,49,54,54,85,85,49,54,85,49,49,49,85,85,49,49,85,92,85,54,49,85,49,49,85,85,49,49,49,49,53,53,49,54,49,49,54,85,88.63636363636364,0.009000000000000001,0.002
2,92,77,77,92,77,77,77,92,77,92,77,89,77,92,92,77,89,92,92,53,89,92,77,92,77,77,77,92,89,92,89,77,92,77,92,77,92,92,92,77,92,89,92,77,92,89,92,77,92,92,89,92,89,92,89,89,92,89,77,89,77,89,92,89,89,89,89,77,77,77,77,92,77,52,77,89,92,92,92,92,77,92,92,77,77,89,89,92,92,92,77,89,92,92,77,33,77,89,92,92,87,77,77,89,77,92,89,92,92,89,92,77,89,77,92,89,92,89,92,77,33,89,89,92,61,77,92,77,92,77,89,92,92,92,77,89,89,77,92,92,5,92,89,53,77,92,89,77,53,89,89,77,89,89,77,92,92,77,89,77,92,89,77,92,92,92,92,92,77,77,92,92,92,77,77,77,92,92,89,77,89,92,77,92,89,89,89,89,89,89,92,89,89,92,77,89,92,77,89,92,92,89,89,92,77,77,92,77,77,92,92,77,53,53,77,5,92,89,89,92,91.36363636363637,0.009000000000000001,0.009000000000000001
3,9,78,50,78,78,78,78,9,78,78,78,9,9,78,9,9,50,9,78,53,9,78,50,78,9,9,9,9,50,78,50,9,78,9,78,9,9,9,78,9,9,78,9,9,9,78,50,9,50,78,78,50,78,50,9,78,9,9,9,78,50,78,92,78,78,50,78,78,9,50,78,9,61,78,78,78,9,78,9,78,78,78,78,9,17,50,78,9,9,9,50,50,78,9,78,33,50,9,78,9,87,9,9,9,9,92,78,92,50,78,78,9,78,9,78,50,9,50,78,9,33,50,78,9,61,78,78,78,78,9,50,9,50,78,50,78,78,50,9,50,5,50,78,53,78,9,9,9,53,50,78,65,78,9,9,78,9,78,78,9,78,50,61,78,50,78,78,78,78,78,78,78,78,9,50,9,78,9,78,78,9,9,9,78,50,50,78,78,78,50,78,9,9,78,9,9,9,9,17,92,78,50,78,9,50,78,9,9,9,9,78,9,9,53,78,5,78,9,50,50,88.63636363636364,0.009000000000000001,0.009000000000000001
4,54,35,35,35,54,35,54,54,35,54,35,35,54,35,35,35,54,35,35,53,35,35,35,54,35,35,35,35,54,35,54,54,54,54,35,65,35,35,54,35,35,35,54,35,54,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,92,35,54,54,35,35,54,54,35,35,61,52,54,35,35,35,35,35,35,35,35,35,17,54,35,35,35,35,54,54,35,54,35,33,35,35,54,35,87,35,35,35,54,92,35,92,35,35,35,35,35,35,54,54,35,54,35,35,33,54,35,35,61,35,35,35,35,35,54,54,35,35,35,35,35,54,35,35,5,54,35,53,35,54,35,35,53,54,35,65,35,35,35,35,35,35,54,35,54,54,61,35,35,54,35,35,35,35,35,54,35,54,35,35,35,54,35,35,35,35,35,54,54,54,35,35,54,54,35,35,54,35,35,54,35,54,17,92,35,54,35,35,35,35,35,35,54,35,35,35,53,53,35,5,54,54,54,35,90.0,0.009000000000000001,0.005
5,94,72,41,41,41,72,41,41,72,41,72,41,41,41,72,41,41,72,72,53,72,72,41,41,41,41,41,72,72,72,72,41,41,72,72,65,41,41,41,41,72,72,72,41,94,72,72,41,72,72,72,41,72,41,41,72,41,72,41,41,41,72,92,72,72,72,72,72,41,72,72,72,61,72,41,72,72,72,41,72,72,72,41,41,72,41,72,72,72,41,41,41,72,72,72,33,72,72,72,72,87,41,41,72,41,92,72,92,41,72,72,41,72,41,72,72,72,41,72,41,33,72,72,41,61,41,41,41,41,41,72,94,72,41,41,41,41,41,72,41,72,72,72,53,72,72,72,41,53,72,72,65,41,41,41,72,41,72,72,41,41,72,61,72,41,72,72,72,41,41,41,72,72,41,41,41,72,41,72,41,41,41,41,72,41,41,41,72,72,72,41,41,72,72,41,41,41,41,17,92,72,72,72,41,72,72,41,41,72,72,72,41,72,53,41,72,72,41,72,72,89.54545454545455,0.009000000000000001,0.003
6,51,51,65,51,18,65,18,18,51,51,18,18,65,65,51,18,65,65,65,53,18,18,18,18,51,18,18,18,65,65,65,18,18,51,51,65,65,18,18,18,18,65,51,18,51,51,51,18,18,51,51,51,18,65,18,51,18,51,18,51,18,65,92,18,18,65,65,51,65,51,51,51,61,18,18,18,51,65,18,51,51,65,51,18,17,18,51,18,18,18,51,65,65,51,51,33,18,51,18,51,65,65,18,51,65,92,18,92,65,18,51,18,65,18,51,65,18,65,18,18,33,65,65,18,61,18,18,51,51,18,65,51,18,51,51,51,51,65,65,65,51,51,18,53,65,51,51,18,53,65,18,65,51,18,65,51,51,65,18,18,51,51,61,51,51,51,51,18,51,51,51,65,51,18,51,51,51,65,51,51,18,18,65,18,65,65,51,51,65,65,18,18,18,51,18,18,18,65,17,92,51,65,51,51,18,65,18,18,51,18,51,18,18,53,65,5,51,18,65,18,88.63636363636364,0.009000000000000001,0.008
7,31,31,31,31,31,8,31,8,31,31,31,8,31,31,31,8,31,31,8,53,31,8,31,8,31,8,8,8,8,31,8,31,8,31,8,65,31,8,8,8,31,8,31,8,31,31,8,31,8,8,31,8,8,31,8,31,31,8,31,8,31,8,92,8,8,31,31,31,31,31,31,31,61,52,31,31,31,31,31,31,31,31,31,31,17,31,31,8,8,31,31,31,31,31,31,33,31,31,31,31,87,31,8,31,31,92,8,92,31,8,31,8,8,8,31,8,31,8,8,31,33,31,8,8,61,8,8,31,31,31,31,31,8,8,31,8,8,31,31,31,31,31,8,53,31,31,31,31,53,8,8,65,31,8,31,31,31,31,31,8,31,31,61,8,8,8,31,8,31,31,8,31,31,31,31,31,31,31,31,8,8,31,31,8,31,8,31,31,31,31,8,31,8,31,8,8,8,8,8,92,8,31,31,8,31,31,31,8,31,8,8,31,53,53,31,8,31,31,31,8,90.45454545454545,0.009000000000000001,0.001
8,83,83,83,72,72,83,72,98,72,72,83,98,98,83,98,98,98,98,98,72,98,83,83,72,83,83,98,83,83,83,83,72,72,98,72,65,98,83,72,83,98,72,72,83,83,72,83,98,83,83,72,83,98,83,98,72,83,98,72,72,83,72,92,83,72,72,72,72,83,72,83,98,72,72,72,72,98,83,72,72,72,83,72,98,83,83,72,83,83,72,83,83,83,83,72,33,83,98,72,98,72,83,98,98,83,92,72,92,83,98,72,98,72,98,72,83,98,83,83,98,33,72,72,72,61,98,98,83,72,98,98,83,83,83,83,83,83,83,98,83,72,72,98,53,72,98,98,98,53,72,72,65,72,83,83,83,98,83,72,98,72,72,61,83,83,83,72,83,83,83,72,72,83,72,83,98,72,72,72,83,83,72,83,83,83,83,83,72,72,83,98,98,98,72,98,83,83,98,17,92,83,72,72,72,83,83,72,98,98,83,83,98,72,72,83,5,72,98,72,83,90.9090909090909,0.009000000000000001,0.002
9,76,76,73,65,76,76,76,76,76,65,73,65,73,73,76,65,73,65,65,53,73,76,73,65,76,73,73,76,65,73,76,65,76,65,65,65,73,73,76,73,73,65,65,73,76,76,76,73,76,76,76,76,76,65,65,76,73,76,76,76,73,65,92,65,65,65,65,73,73,73,76,76,61,76,73,65,73,76,76,76,76,73,76,73,17,73,65,76,76,73,73,73,73,76,73,33,73,65,73,73,65,73,73,65,73,92,65,92,73,73,76,65,65,76,65,73,73,76,76,73,33,65,76,65,61,65,76,76,76,73,65,76,76,76,76,76,76,73,73,73,5,65,65,53,65,65,65,73,53,76,65,65,76,73,73,73,65,73,65,73,65,65,61,76,76,76,65,76,76,76,76,65,76,65,76,65,65,65,65,76,65,73,73,76,73,65,76,76,65,73,76,73,65,65,65,65,76,73,17,92,76,65,65,76,73,73,73,73,73,76,76,73,53,53,73,5,65,73,65,76,91.36363636363637,0.009000000000000001,0.009000000000000001
