,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222
0,92,33,33,33,92,92,79,92,75,79,33,92,92,92,92,92,33,92,75,33,92,33,16,92,33,16,50,16,50,75,75,92,75,92,33,87,33,92,33,16,92,75,92,16,92,75,75,92,16,75,33,33,75,92,92,33,16,92,92,75,16,75,92,92,16,50,33,75,33,33,33,92,33,33,33,92,92,75,33,75,75,75,75,16,33,33,75,16,92,33,33,92,92,92,33,33,33,16,33,75,87,33,92,92,33,92,92,92,33,16,75,75,75,75,33,50,92,33,75,33,33,50,75,33,33,75,75,33,33,92,33,92,16,16,33,75,75,33,92,92,33,92,75,33,92,92,92,16,33,92,92,87,75,16,33,75,92,75,92,16,92,50,33,75,33,33,33,75,50,75,33,92,33,92,50,16,33,33,75,75,16,33,33,92,50,92,50,33,75,50,75,16,92,33,75,92,92,92,33,92,75,50,33,75,33,33,33,16,92,92,33,92,33,33,33,33,75,16,50,92,92.27272727272727,0.009000000000000001,0.009000000000000001
1,9,54,54,54,54,9,79,9,54,79,54,54,9,54,9,54,54,9,9,54,9,54,54,54,9,9,9,9,54,54,54,54,54,9,54,9,9,9,54,9,9,9,9,9,9,54,54,9,9,54,54,54,54,9,54,54,9,9,9,9,54,9,9,54,54,54,54,54,54,54,9,9,5,52,54,54,9,54,9,54,9,54,54,9,17,54,54,9,9,54,54,54,54,9,54,54,54,9,9,9,9,54,9,9,54,9,9,9,54,9,54,9,54,9,54,54,9,54,54,54,54,54,54,54,5,9,54,9,54,9,54,9,9,9,54,9,9,54,9,54,54,54,54,54,54,9,9,9,54,54,9,9,54,9,9,54,9,54,54,9,9,54,5,9,9,54,9,54,54,9,54,9,54,9,54,9,54,9,54,9,9,9,54,9,54,9,9,54,54,54,54,9,9,54,9,54,9,9,9,9,54,54,54,54,54,54,54,9,9,54,9,9,54,54,9,54,54,9,54,54,96.81818181818181,0.009000000000000001,0.008
2,67,43,67,43,43,43,43,67,43,43,43,43,67,67,43,67,43,67,43,43,67,43,43,43,39,43,67,43,43,43,43,43,43,43,35,19,43,43,43,43,67,67,67,43,67,43,43,67,43,43,43,67,43,67,43,43,43,43,43,67,43,67,67,43,43,67,43,43,43,43,67,67,61,52,43,43,67,43,43,43,67,43,43,39,17,43,43,43,43,43,67,67,67,67,43,67,43,43,67,43,87,35,35,43,35,67,43,67,67,43,43,43,43,43,43,67,67,43,43,43,43,43,67,43,61,43,43,67,43,39,43,67,43,67,67,67,67,67,67,67,43,67,43,43,43,67,43,39,43,67,43,19,67,43,43,67,43,43,43,43,43,67,61,43,43,43,43,43,67,67,43,67,43,43,67,43,43,67,43,39,43,43,43,43,43,67,67,43,43,43,43,43,67,43,43,43,43,67,39,67,43,43,43,43,43,43,43,43,67,43,43,39,43,43,67,43,43,43,43,43,95.0,0.009000000000000001,0.007
3,98,44,44,98,40,38,40,44,38,40,40,98,98,38,98,98,38,98,98,38,98,40,98,98,38,40,98,40,40,40,44,40,98,98,44,19,98,40,44,40,98,40,44,40,98,44,44,98,40,44,44,44,40,38,40,38,40,44,40,38,40,98,38,40,98,38,38,38,38,38,44,98,38,17,40,40,98,38,38,44,38,40,38,38,17,38,38,40,40,98,44,98,40,98,38,40,38,98,98,98,87,40,98,98,40,38,98,38,98,38,44,98,38,98,38,44,98,98,40,98,98,38,38,98,38,98,44,44,44,98,98,98,40,44,44,44,44,38,98,40,38,38,98,38,40,98,98,98,40,38,40,19,44,40,40,38,40,38,40,98,40,38,61,44,44,40,98,40,44,44,44,38,40,40,44,40,38,98,38,38,40,38,38,40,38,44,44,44,38,98,44,40,40,38,98,40,40,98,98,38,44,38,38,38,38,40,38,38,98,40,44,98,38,38,44,38,38,98,38,44,94.54545454545455,0.009000000000000001,0.008
4,30,71,30,71,64,71,79,30,71,79,71,30,50,30,30,30,71,30,30,71,30,30,16,30,71,30,30,16,50,50,30,16,30,30,71,19,71,30,71,30,30,30,30,30,30,71,64,30,16,64,71,30,30,30,30,71,16,30,16,71,16,30,30,64,30,50,71,71,71,71,71,30,71,71,16,64,30,64,71,71,71,50,71,16,71,30,71,16,30,71,71,30,50,30,71,71,71,16,71,16,19,71,30,30,71,30,30,30,30,16,71,30,64,30,71,50,30,71,30,30,71,50,30,71,71,30,30,71,71,30,71,30,30,30,71,64,71,71,30,30,71,71,30,71,71,30,30,71,71,30,30,19,30,16,71,71,16,71,64,30,16,50,71,30,30,64,71,30,30,71,71,30,71,16,30,16,71,71,71,30,16,71,71,64,50,30,71,71,71,50,30,16,30,71,30,64,16,30,71,30,64,50,71,71,71,16,71,30,30,16,16,16,71,71,71,71,71,16,50,30,95.9090909090909,0.009000000000000001,0.007
5,36,71,71,71,36,36,79,50,71,79,71,36,50,71,36,50,71,36,36,71,36,16,16,71,71,16,71,16,50,50,36,16,71,36,71,19,71,36,71,16,71,36,36,16,36,71,36,16,16,36,71,16,36,36,16,71,16,36,16,71,16,36,36,16,16,50,71,71,71,71,71,36,71,71,71,36,71,36,71,71,71,50,71,16,71,50,71,71,36,71,71,50,50,36,71,71,71,36,71,36,87,71,36,36,71,36,36,36,71,36,71,16,36,36,71,50,36,71,36,71,71,50,71,71,71,36,36,71,71,16,71,36,16,16,71,36,71,71,71,71,71,71,36,71,71,36,36,71,71,50,36,19,71,16,71,71,36,71,36,16,71,50,71,36,36,36,71,16,71,36,71,71,71,16,50,16,71,71,71,36,16,71,71,36,50,50,71,71,71,50,36,36,50,71,36,16,36,50,71,36,36,50,71,71,71,71,71,16,36,16,36,16,71,71,71,71,71,16,50,36,95.45454545454545,0.009000000000000001,0.008
6,23,23,44,23,43,43,43,23,23,43,43,43,23,23,23,43,43,23,43,23,43,40,43,43,23,40,43,40,43,23,43,43,43,43,23,87,23,40,43,40,23,43,23,40,23,23,44,43,40,44,23,44,43,23,43,23,43,44,43,23,43,43,23,43,43,23,23,23,23,23,44,23,23,23,43,43,23,43,23,23,23,23,23,40,23,43,23,40,40,23,44,43,23,43,23,23,23,23,23,23,87,23,43,43,23,23,43,23,23,43,23,43,43,43,23,43,23,23,43,43,23,23,43,23,23,43,43,23,23,43,43,23,40,44,23,44,44,23,23,23,23,23,43,23,43,23,43,40,23,23,43,87,44,40,23,23,23,43,43,43,43,23,23,44,44,40,23,43,44,44,23,23,23,43,44,43,23,23,23,44,40,23,23,40,43,43,44,23,23,43,43,43,43,23,43,40,40,43,23,23,44,23,23,44,23,43,23,43,43,40,44,40,23,23,44,23,23,43,23,44,95.0,0.009000000000000001,0.009000000000000001
7,46,62,46,62,79,46,79,46,62,79,13,46,62,46,46,62,62,46,46,62,46,13,16,62,46,16,62,46,16,46,13,62,62,46,62,46,46,46,62,16,46,62,46,16,46,62,13,46,16,13,62,13,62,46,62,62,16,13,16,62,16,46,46,13,62,62,62,62,46,62,46,46,62,62,16,13,46,62,62,62,46,46,62,46,62,62,62,46,13,62,46,62,46,46,62,62,62,46,62,46,87,46,46,46,46,46,46,46,46,62,62,62,13,62,62,13,46,62,13,62,62,62,62,62,62,62,62,62,62,46,62,46,46,62,46,62,62,62,46,46,62,62,62,62,13,46,46,46,62,62,13,46,62,16,46,62,46,62,13,62,13,62,62,46,13,13,62,62,62,62,62,62,62,46,62,62,62,62,62,62,16,62,62,13,62,46,62,62,62,62,62,46,62,62,62,13,46,62,62,46,13,62,62,62,62,46,62,62,46,16,46,46,62,62,46,62,62,62,62,46,96.36363636363636,0.009000000000000001,0.006
8,91,76,91,91,64,76,79,91,64,79,76,91,91,91,76,76,91,76,64,64,91,76,91,91,76,64,76,35,91,91,91,91,91,91,64,19,76,35,91,35,91,64,91,35,91,64,76,91,64,76,64,76,91,91,64,91,64,76,64,76,91,76,91,64,91,91,64,64,91,64,76,91,61,52,91,76,91,64,64,35,76,64,91,64,52,91,64,35,64,91,76,91,64,91,91,91,91,76,64,76,87,35,35,91,91,91,76,91,91,64,64,76,64,76,91,91,91,91,76,91,91,91,91,91,64,91,76,76,64,35,91,91,76,76,76,76,76,91,91,91,64,91,91,64,64,91,91,35,64,91,64,19,76,64,35,91,91,64,64,76,91,91,61,76,76,91,64,76,76,76,91,91,91,64,76,76,64,91,64,76,64,64,91,64,91,91,76,64,91,91,76,64,91,64,76,64,64,91,64,91,76,91,64,76,91,91,64,35,91,91,76,64,91,64,76,64,91,91,91,76,95.45454545454545,0.009000000000000001,0.008
9,38,38,38,38,38,38,79,38,38,79,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,19,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,52,52,38,38,38,38,38,38,38,38,38,38,17,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,87,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,19,38,38,38,38,38,38,38,38,38,38,52,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,97.72727272727273,0.009000000000000001,0.008
